UNID,名称,所在地,経度,緯度
334,荒田小学校,荒田１丁目３０－２７,130.5483909,31.57551897
335,宇宿小学校,宇宿４丁目２１－７,130.5362489,31.54547606
336,鴨池小学校,真砂本町５９－２８,130.5525011,31.55395793
337,中郡小学校,郡元２丁目４－６,130.5467382,31.56350244
338,西紫原小学校,紫原４丁目１６－４,130.5325847,31.5556255
339,南小学校,東郡元町１３－２２,130.5474485,31.55244371
340,紫原小学校,紫原２丁目３６－５０,130.5371323,31.5587773
341,八幡小学校,下荒田３丁目２５－１,130.55405,31.57052745
342,鴨池中学校,真砂本町５８－５８,130.553786,31.55330801
343,甲南中学校,高麗町３６－３２,130.5499167,31.57872672
344,天保山中学校,下荒田２丁目３１－１５,130.5591583,31.57461638
345,西紫原中学校,西紫原町２６－１,130.5279298,31.55812406
346,南中学校,東郡元町１３－３４,130.5474144,31.55338867
347,紫原中学校,紫原６丁目３１－１９,130.5293127,31.5639323
348,草牟田小学校,城山２丁目３－１,130.5474632,31.60292183
349,西田小学校,薬師２丁目３１－１,130.5357345,31.58949468
350,原良小学校,原良２丁目１－１,130.5351639,31.59722986
351,明和小学校,明和２丁目１－１,130.5222896,31.60151579
352,城西中学校,城西２丁目３－１２,130.5397047,31.59588527
353,明和中学校,明和２丁目２－１,130.5215216,31.6002558
354,鹿児島女子高校,玉里町２７－１,130.5393679,31.61210927
355,向陽小学校,向陽１丁目１４番１号,130.5159805,31.55852593
356,西陵小学校,西陵１丁目１１－１,130.5158011,31.57932148
357,田上小学校,田上５丁目１２番１号,130.5267139,31.57901335
358,武岡小学校,武岡２丁目３０－１,130.5178398,31.59146338
359,武岡台小学校,武岡６丁目１－１,130.5157255,31.59662718
360,武小学校,武１丁目３５－３１,130.5382002,31.57703971
361,広木小学校,広木１丁目４－１,130.5220019,31.56478102
362,西陵中学校,西陵５丁目１３－１,130.5057251,31.58267994
363,武岡中学校,武岡５丁目５０－１,130.5085875,31.60038431
364,武中学校,武３丁目４２－１,130.5334836,31.58024186
365,皇徳寺小学校,皇徳寺台２丁目５０－１,130.4926406,31.55645295
366,桜丘西小学校,桜ヶ丘２丁目３５,130.5108654,31.55451266
367,桜丘東小学校,桜ヶ丘６丁目１３,130.5222599,31.54825839
368,中山小学校,中山２丁目３０－３,130.5038381,31.55024092
369,東谷山小学校,魚見町１２４－１,130.5239672,31.54030444
370,星峯西小学校,星ヶ峯４丁目９－１,130.4929476,31.57783146
371,星峯東小学校,星ヶ峯１丁目１７－１,130.5032848,31.57291909
372,宮川小学校,皇徳寺台４丁目２６－１,130.4841917,31.56305867
373,皇徳寺中学校,皇徳寺台３丁目３５－１,130.4875991,31.56206259
374,桜丘中学校,桜ヶ丘２丁目３４,130.5101547,31.55228702
375,谷山北中学校,山田町１６９０番,130.5043517,31.56213203
376,東谷山中学校,魚見町１２０－２,130.5264281,31.54150536
377,星峯中学校,星ヶ峯４丁目１０－１,130.4915739,31.57854655
378,錦江台小学校,錦江台１丁目７０－１,130.494062,31.50050291
379,錫山小学校,下福元町９８５６番,130.4535754,31.49678155
380,清和小学校,上福元町１２７７－１,130.5105133,31.53517038
381,谷山小学校,谷山中央１丁目４９６２,130.5174271,31.52185049
382,西谷山小学校,上福元町６４６４－１,130.5011579,31.52320668
383,平川小学校,平川町３７９５番,130.5144477,31.44939819
384,福平小学校,平川町８１９－３,130.5015933,31.47758484
385,和田小学校,和田２丁目２－１０,130.5117652,31.51006648
386,谷山中学校,上福元町５５００,130.5107278,31.52337147
387,福平中学校,平川町６００４,130.4975338,31.47787876
388,和田中学校,和田２丁目４４－３,130.5090105,31.50673967
389,伊敷小学校,伊敷５丁目１９－１,130.5275442,31.62690923
390,伊敷台小学校,伊敷台４丁目２０－１,130.539075,31.6311583
391,犬迫小学校,犬迫町５７４５,130.4966696,31.62987282
392,小山田小学校,小山田町９３９８,130.4894432,31.66365399
393,玉江小学校,下伊敷１丁目３５－１,130.5336143,31.61303592
394,西伊敷小学校,西伊敷４丁目１２－１,130.5359278,31.6399739
395,花野小学校,花野光ヶ丘１丁目１－１,130.5293081,31.64681313
396,皆与志小学校,皆与志町４３０７,130.5191752,31.67055208
397,伊敷台中学校,伊敷台１丁目３－１,130.5299873,31.62148349
398,伊敷中学校,下伊敷２丁目１１－１,130.5364883,31.60973108
399,河頭中学校,犬迫町１１６８番,130.5127211,31.64247264
400,川上小学校,川上町３２２番,130.5543513,31.65221456
401,大明丘小学校,大明ヶ丘１丁目１８－１,130.565221,31.62895119
402,吉野小学校,吉野町２４７２番,130.5658675,31.6381394
403,吉野東小学校,吉野町５９６８－１,130.5861775,31.647822
404,緑丘中学校,緑ヶ丘町４６－１,130.5439617,31.65568828
405,吉野中学校,吉野町３０７４番,130.571169,31.6463936
406,吉野東中学校,吉野町５００３,130.5847025,31.64828903
407,本城小学校,本城町１７０５,130.5587542,31.71114084
408,本名小学校,本名町３５７９,130.5453016,31.70045426
